location,book_table,name
BTM,No,4799
BTM,Yes,167
Banashankari,No,833
Banashankari,Yes,63
Banaswadi,No,615
Banaswadi,Yes,8
Bannerghatta Road,No,1490
Bannerghatta Road,Yes,99
Basavanagudi,No,653
Basavanagudi,Yes,16
Bellandur,No,1136
Bellandur,Yes,98
Brigade Road,No,1014
Brigade Road,Yes,179
Brookefield,No,578
Brookefield,Yes,74
Church Street,No,369
Church Street,Yes,182
Commercial Street,No,369
Cunningham Road,No,299
Cunningham Road,Yes,175
Domlur,No,427
Domlur,Yes,55
Ejipura,No,434
Electronic City,No,1135
Electronic City,Yes,98
Frazer Town,No,657
Frazer Town,Yes,8
HSR,No,2261
HSR,Yes,217
Indiranagar,No,1547
Indiranagar,Yes,453
JP Nagar,No,1884
JP Nagar,Yes,315
Jayanagar,No,1593
Jayanagar,Yes,279
Kalyan Nagar,No,685
Kalyan Nagar,Yes,149
Kammanahalli,No,585
Kammanahalli,Yes,49
Koramangala 1st Block,No,1185
Koramangala 1st Block,Yes,50
Koramangala 4th Block,No,684
Koramangala 4th Block,Yes,310
Koramangala 5th Block,No,1754
Koramangala 5th Block,Yes,692
Koramangala 6th Block,No,1002
Koramangala 6th Block,Yes,112
Koramangala 7th Block,No,970
Koramangala 7th Block,Yes,164
Lavelle Road,No,289
Lavelle Road,Yes,231
MG Road,No,535
MG Road,Yes,341
Malleshwaram,No,614
Malleshwaram,Yes,89
Marathahalli,No,1620
Marathahalli,Yes,166
New BEL Road,No,585
New BEL Road,Yes,56
Old Airport Road,No,373
Old Airport Road,Yes,59
Rajajinagar,No,543
Rajajinagar,Yes,41
Residency Road,No,523
Residency Road,Yes,150
Richmond Road,No,631
Richmond Road,Yes,116
Sarjapur Road,No,888
Sarjapur Road,Yes,156
Shanti Nagar,No,442
Shanti Nagar,Yes,57
Shivajinagar,No,434
Shivajinagar,Yes,23
St. Marks Road,No,219
St. Marks Road,Yes,124
Ulsoor,No,814
Ulsoor,Yes,177
Whitefield,No,1826
Whitefield,Yes,251
others,No,4504
others,Yes,368
