location,online_order,name
BTM,No,1721
BTM,Yes,3245
Banashankari,No,391
Banashankari,Yes,505
Banaswadi,No,288
Banaswadi,Yes,335
Bannerghatta Road,No,669
Bannerghatta Road,Yes,920
Basavanagudi,No,235
Basavanagudi,Yes,434
Bellandur,No,495
Bellandur,Yes,739
Brigade Road,No,535
Brigade Road,Yes,658
Brookefield,No,239
Brookefield,Yes,413
Church Street,No,209
Church Street,Yes,342
Commercial Street,No,227
Commercial Street,Yes,142
Cunningham Road,No,161
Cunningham Road,Yes,313
Domlur,No,247
Domlur,Yes,235
Ejipura,No,214
Ejipura,Yes,220
Electronic City,No,665
Electronic City,Yes,568
Frazer Town,No,254
Frazer Town,Yes,411
HSR,No,572
HSR,Yes,1906
Indiranagar,No,681
Indiranagar,Yes,1319
JP Nagar,No,896
JP Nagar,Yes,1303
Jayanagar,No,523
Jayanagar,Yes,1349
Kalyan Nagar,No,343
Kalyan Nagar,Yes,491
Kammanahalli,No,259
Kammanahalli,Yes,375
Koramangala 1st Block,No,384
Koramangala 1st Block,Yes,851
Koramangala 4th Block,No,448
Koramangala 4th Block,Yes,546
Koramangala 5th Block,No,837
Koramangala 5th Block,Yes,1609
Koramangala 6th Block,No,433
Koramangala 6th Block,Yes,681
Koramangala 7th Block,No,359
Koramangala 7th Block,Yes,775
Lavelle Road,No,315
Lavelle Road,Yes,205
MG Road,No,502
MG Road,Yes,374
Malleshwaram,No,301
Malleshwaram,Yes,402
Marathahalli,No,690
Marathahalli,Yes,1096
New BEL Road,No,255
New BEL Road,Yes,386
Old Airport Road,No,220
Old Airport Road,Yes,212
Rajajinagar,No,281
Rajajinagar,Yes,303
Residency Road,No,425
Residency Road,Yes,248
Richmond Road,No,510
Richmond Road,Yes,237
Sarjapur Road,No,321
Sarjapur Road,Yes,723
Shanti Nagar,No,279
Shanti Nagar,Yes,220
Shivajinagar,No,319
Shivajinagar,Yes,138
St. Marks Road,No,176
St. Marks Road,Yes,167
Ulsoor,No,379
Ulsoor,Yes,612
Whitefield,No,969
Whitefield,Yes,1108
others,No,2011
others,Yes,2861
